system:time_start,EVI2_median,fitted
"May 20, 2021",0.476,0.476
"May 25, 2021",0.474,0.475
"May 30, 2021",0.467,0.474
"Jun 4, 2021",,0.474
"Jun 9, 2021",0.518,0.473
"Jun 14, 2021",,0.473
"Jun 19, 2021",,0.473
"Jun 24, 2021",0.508,0.474
"Jun 29, 2021",,0.475
"Jul 4, 2021",0.467,0.476
"Jul 9, 2021",0.466,0.477
"Jul 14, 2021",0.169,0.478
"Jul 19, 2021",0.465,0.48
"Jul 24, 2021",0.54,0.482
"Jul 29, 2021",0.456,0.484
"Aug 3, 2021",,0.487
"Aug 8, 2021",,0.489
"Aug 13, 2021",,0.492
"Aug 18, 2021",,0.495
"Aug 23, 2021",0.523,0.498
"Aug 28, 2021",0.498,0.501
"Sep 2, 2021",,0.504
"Sep 7, 2021",,0.507
"Sep 12, 2021",0.529,0.51
"Sep 17, 2021",0.509,0.513
"Sep 22, 2021",,0.516
"Sep 27, 2021",,0.519
"Oct 2, 2021",,0.522
"Oct 7, 2021",0.549,0.525
"Oct 12, 2021",,0.528
"Oct 17, 2021",0.507,0.53
"Oct 22, 2021",,0.533
"Oct 27, 2021",,0.535
"Nov 1, 2021",,0.537
"Nov 6, 2021",,0.539
"Nov 11, 2021",0.404,0.54
"Nov 16, 2021",,0.542
"Nov 21, 2021",,0.543
"Nov 26, 2021",0.527,0.543
"Dec 1, 2021",,0.544
"Dec 6, 2021",0.664,0.544
"Dec 11, 2021",,0.544
"Dec 16, 2021",0.56,0.544
"Dec 21, 2021",,0.543
"Dec 26, 2021",,0.543
"Dec 31, 2021",0.544,0.541
