"","system.time_start","RVI_median","VH_median","Date"
"41","Jun 8, 2017",0.714,-13.464,2017-06-08
"42","Jun 20, 2017",0.761,-13.658,2017-06-20
"43","Jul 2, 2017",0.715,-13.836,2017-07-02
"44","Jul 14, 2017",0.738,-13.663,2017-07-14
"45","Jul 26, 2017",0.746,-13.901,2017-07-26
"46","Aug 7, 2017",0.785,-13.906,2017-08-07
"47","Aug 19, 2017",0.794,-13.721,2017-08-19
"48","Aug 31, 2017",0.8,-13.848,2017-08-31
"49","Sep 12, 2017",0.839,-13.594,2017-09-12
"50","Sep 24, 2017",0.902,-13.156,2017-09-24
"51","Oct 6, 2017",0.863,-12.852,2017-10-06
"52","Oct 18, 2017",0.872,-12.784,2017-10-18
"53","Oct 30, 2017",0.855,-12.658,2017-10-30
"54","Nov 11, 2017",0.847,-12.281,2017-11-11
"55","Nov 23, 2017",0.841,-12.098,2017-11-23
"56","Dec 5, 2017",0.769,-12.534,2017-12-05
"57","Dec 17, 2017",0.739,-13.341,2017-12-17
"58","Dec 29, 2017",0.746,-13.467,2017-12-29
"59","Jan 11, 2018",0.808,-13.428,2018-01-11
"60","Jan 23, 2018",0.811,-13.893,2018-01-23
"61","Feb 4, 2018",0.877,-11.989,2018-02-04
"62","Feb 16, 2018",0.819,-12.93,2018-02-16
"63","Feb 28, 2018",0.821,-13.488,2018-02-28
"64","Mar 12, 2018",0.842,-12.424,2018-03-12
"65","Mar 24, 2018",0.808,-12.858,2018-03-24
"66","Apr 5, 2018",0.786,-13.455,2018-04-05
"67","Apr 17, 2018",0.831,-12.772,2018-04-17
"68","Apr 29, 2018",0.772,-13.569,2018-04-29
"69","May 11, 2018",0.775,-13.921,2018-05-11
"70","May 23, 2018",0.806,-13.202,2018-05-23
"71","Jun 4, 2018",0.791,-13.518,2018-06-04
"72","Jun 16, 2018",0.757,-13.868,2018-06-16
"73","Jun 28, 2018",0.77,-13.831,2018-06-28
"74","Jul 10, 2018",0.787,-13.57,2018-07-10
"75","Jul 22, 2018",0.806,-13.266,2018-07-22
"76","Aug 3, 2018",0.791,-14.01,2018-08-03
"77","Aug 15, 2018",0.833,-13.775,2018-08-15
"78","Aug 27, 2018",0.819,-14.014,2018-08-27
"79","Sep 8, 2018",0.836,-14.012,2018-09-08
"80","Sep 20, 2018",0.855,-13.803,2018-09-20
"81","Oct 2, 2018",0.854,-13.609,2018-10-02
"82","Oct 14, 2018",0.854,-13.82,2018-10-14
"83","Oct 26, 2018",0.85,-12.985,2018-10-26
"84","Nov 7, 2018",0.866,-12.504,2018-11-07
"85","Nov 19, 2018",0.829,-13.426,2018-11-19
"86","Dec 1, 2018",0.826,-13.577,2018-12-01
"87","Dec 13, 2018",0.808,-13.583,2018-12-13
"88","Dec 25, 2018",0.782,-13.426,2018-12-25
"89","Jan 6, 2019",0.799,-13.555,2019-01-06
"90","Jan 18, 2019",0.783,-13.826,2019-01-18
"91","Jan 30, 2019",0.799,-13.074,2019-01-30
"92","Feb 11, 2019",0.814,-13.583,2019-02-11
"93","Feb 23, 2019",0.768,-13.832,2019-02-23
"94","Mar 7, 2019",0.771,-13.636,2019-03-07
"95","Mar 19, 2019",0.789,-13.741,2019-03-19
"96","Mar 31, 2019",0.76,-13.613,2019-03-31
"97","Apr 12, 2019",0.804,-12.907,2019-04-12
"98","Apr 24, 2019",0.745,-13.883,2019-04-24
"99","May 6, 2019",0.754,-13.852,2019-05-06
"100","May 18, 2019",0.772,-13.454,2019-05-18
"101","May 30, 2019",0.77,-13.834,2019-05-30
"102","Jun 11, 2019",0.831,-12.919,2019-06-11
"103","Jun 23, 2019",0.808,-13.924,2019-06-23
"104","Jul 5, 2019",0.768,-13.981,2019-07-05
"105","Jul 17, 2019",0.794,-14.335,2019-07-17
"106","Jul 29, 2019",0.757,-13.794,2019-07-29
"107","Aug 10, 2019",0.839,-12.643,2019-08-10
"108","Aug 22, 2019",0.794,-13.641,2019-08-22
"109","Sep 3, 2019",0.791,-13.795,2019-09-03
"110","Sep 15, 2019",0.768,-13.987,2019-09-15
"111","Sep 27, 2019",0.8,-13.793,2019-09-27
"112","Oct 9, 2019",0.816,-13.8,2019-10-09
"113","Oct 21, 2019",0.813,-13.77,2019-10-21
"114","Nov 2, 2019",0.816,-13.612,2019-11-02
"115","Nov 14, 2019",0.842,-13.837,2019-11-14
"116","Nov 26, 2019",0.854,-12.858,2019-11-26
"117","Dec 8, 2019",0.858,-12.195,2019-12-08
"118","Dec 20, 2019",0.816,-13.549,2019-12-20
"119","Jan 1, 2020",0.798,-13.737,2020-01-01
"120","Jan 13, 2020",0.779,-13.606,2020-01-13
"121","Feb 6, 2020",0.78,-13.731,2020-02-06
"122","Feb 18, 2020",0.784,-13.642,2020-02-18
"123","Mar 1, 2020",0.781,-13.921,2020-03-01
"124","Mar 13, 2020",0.807,-12.671,2020-03-13
"125","Mar 25, 2020",0.787,-12.981,2020-03-25
"126","Apr 6, 2020",0.764,-13.608,2020-04-06
"127","Apr 18, 2020",0.798,-12.86,2020-04-18
"128","Apr 30, 2020",0.737,-14.012,2020-04-30
"129","May 12, 2020",0.757,-13.93,2020-05-12
"130","May 24, 2020",0.769,-13.081,2020-05-24
"131","Jun 5, 2020",0.759,-13.958,2020-06-05
"132","Jun 17, 2020",0.799,-13.016,2020-06-17
"133","Jun 29, 2020",0.781,-13.59,2020-06-29
"134","Jul 11, 2020",0.74,-14.173,2020-07-11
"135","Jul 23, 2020",0.74,-14.073,2020-07-23
"136","Aug 4, 2020",0.753,-14.196,2020-08-04
"137","Aug 16, 2020",0.77,-13.603,2020-08-16
"138","Aug 28, 2020",0.782,-13.946,2020-08-28
"139","Sep 9, 2020",0.897,-14.054,2020-09-09
"140","Sep 21, 2020",0.943,-13.89,2020-09-21
"141","Oct 15, 2020",0.941,-13.547,2020-10-15
"142","Oct 27, 2020",0.982,-12.674,2020-10-27
"143","Nov 8, 2020",0.972,-13.203,2020-11-08
"144","Nov 20, 2020",0.816,-13.015,2020-11-20
"145","Dec 2, 2020",0.791,-13.514,2020-12-02
"146","Dec 14, 2020",0.754,-13.923,2020-12-14
"147","Dec 26, 2020",0.757,-13.957,2020-12-26
"148","Jan 7, 2021",0.757,-13.926,2021-01-07
"149","Jan 19, 2021",0.775,-14.08,2021-01-19
"150","Jan 31, 2021",0.78,-13.851,2021-01-31
"151","Feb 12, 2021",0.772,-13.866,2021-02-12
"152","Feb 24, 2021",0.751,-13.799,2021-02-24
"153","Mar 8, 2021",0.744,-13.805,2021-03-08
"154","Mar 20, 2021",0.78,-13.228,2021-03-20
"155","Apr 1, 2021",0.78,-13.356,2021-04-01
"156","Apr 13, 2021",0.765,-14.084,2021-04-13
"157","Apr 25, 2021",0.761,-13.76,2021-04-25
"158","May 7, 2021",0.786,-13.705,2021-05-07
"159","Aug 23, 2021",0.831,-13.482,2021-08-23
"160","Sep 4, 2021",0.821,-13.223,2021-09-04
"161","Sep 16, 2021",0.822,-13.668,2021-09-16
"162","Sep 28, 2021",0.85,-13.42,2021-09-28
"163","Oct 10, 2021",0.892,-12.79,2021-10-10
"164","Oct 22, 2021",0.853,-12.552,2021-10-22
"165","Nov 3, 2021",0.845,-12.422,2021-11-03
"166","Nov 15, 2021",0.835,-12.922,2021-11-15
"167","Nov 27, 2021",0.796,-13.853,2021-11-27
"168","Dec 9, 2021",0.82,-12.364,2021-12-09
"169","Dec 21, 2021",0.799,-12.988,2021-12-21
