"","date","VHVV_ratio_hectareID_NA","VHVV_ratio_sd_hectareID_NA"
"126",2020-03-25,0.226474,0.093209
"127",2020-04-06,0.230452,0.094148
"128",2020-04-18,0.242094,0.098993
"129",2020-04-30,0.21085,0.090589
"130",2020-05-12,0.21087,0.092017
"131",2020-05-24,0.21483,0.088241
"132",2020-06-05,0.214807,0.092489
"133",2020-06-17,0.242083,0.09727
"134",2020-06-29,0.210889,0.093132
"135",2020-07-11,0.214808,0.091005
"136",2020-07-23,0.214812,0.093138
"137",2020-08-04,0.230435,0.096955
"138",2020-08-16,0.214815,0.089941
"139",2020-08-28,0.230457,0.095755
"140",2020-09-09,0,0.082706
"141",2020-09-21,0.230433,0.102542
"142",2020-10-15,0.226479,0.100658
"143",2020-10-27,0.238252,0.103253
"144",2020-11-08,0.238264,0.102266
"145",2020-11-20,0.246063,0.097914
"146",2020-12-02,0.222643,0.092054
"147",2020-12-14,0.222631,0.091845
"148",2020-12-26,0.238273,0.097413
"149",2021-01-07,0.22647,0.096
"150",2021-01-19,0.226436,0.094506
"151",2021-01-31,0.22646,0.095335
"152",2021-02-12,0.214801,0.093873
"153",2021-02-24,0.210848,0.090525
"154",2021-03-08,0.226477,0.097387
"155",2021-03-20,0.222642,0.092465
"156",2021-04-01,0.210872,0.092925
"157",2021-04-13,0.21085,0.088536
"158",2021-04-25,0.214819,0.089575
"159",2021-05-07,0.222638,0.091358
"160",2021-08-23,0.226513,0.092095
"161",2021-09-04,0.214809,0.089312
"162",2021-09-16,0.21085,0.089584
"163",2021-09-28,0.230437,0.095095
"164",2021-10-10,0.242124,0.097938
"165",2021-10-22,0.238261,0.094046
"166",2021-11-03,0.238239,0.094197
"167",2021-11-15,0.242104,0.096638
"168",2021-11-27,0.22646,0.093403
"169",2021-12-09,0.242134,0.099672
"170",2021-12-21,0.242109,0.099042
