system:time_start,EVI_median,fitted
"Jan 11, 2020",0.619,0.64
"Jan 16, 2020",0.725,0.636
"Jan 21, 2020",,0.633
"Jan 26, 2020",,0.629
"Jan 31, 2020",0.647,0.626
"Feb 5, 2020",0.607,0.621
"Feb 10, 2020",0.553,0.617
"Feb 15, 2020",0.63,0.613
"Feb 20, 2020",0.628,0.608
"Feb 25, 2020",,0.604
"Mar 1, 2020",0.639,0.599
"Mar 6, 2020",,0.594
"Mar 11, 2020",,0.59
"Mar 16, 2020",,0.585
"Mar 21, 2020",,0.581
"Mar 26, 2020",,0.576
"Mar 31, 2020",,0.572
"Apr 5, 2020",,0.568
"Apr 10, 2020",,0.564
"Apr 15, 2020",,0.561
"Apr 20, 2020",0.596,0.557
"Apr 25, 2020",0.588,0.554
"Apr 30, 2020",0.544,0.551
"May 5, 2020",,0.549
"May 10, 2020",0.591,0.547
"May 15, 2020",0.541,0.545
"May 20, 2020",0.38,0.544
"May 25, 2020",,0.543
"May 30, 2020",,0.542
"Jun 4, 2020",0.612,0.542
"Jun 9, 2020",0.541,0.542
"Jun 14, 2020",0.588,0.543
"Jun 19, 2020",,0.544
"Jun 24, 2020",0.541,0.545
"Jun 29, 2020",,0.547
"Jul 4, 2020",0.565,0.549
"Jul 9, 2020",0.541,0.552
"Jul 14, 2020",0.576,0.554
"Jul 19, 2020",,0.557
"Jul 24, 2020",0.654,0.561
"Jul 29, 2020",0.54,0.564
"Aug 3, 2020",0.502,0.568
"Aug 8, 2020",0.606,0.572
"Aug 13, 2020",0.579,0.576
"Aug 18, 2020",0.626,0.58
"Aug 23, 2020",,0.585
"Aug 28, 2020",0.686,0.589
"Sep 2, 2020",0.665,0.594
"Sep 7, 2020",,0.598
"Sep 12, 2020",0.615,0.603
"Sep 17, 2020",0.607,0.607
"Sep 22, 2020",,0.611
"Sep 27, 2020",0.638,0.615
"Oct 2, 2020",0.635,0.619
"Oct 7, 2020",0.532,0.623
"Oct 12, 2020",,0.626
"Oct 17, 2020",0.649,0.63
"Oct 22, 2020",0.584,0.633
"Oct 27, 2020",,0.635
"Nov 1, 2020",,0.638
"Nov 6, 2020",,0.64
"Nov 11, 2020",,0.642
"Nov 16, 2020",,0.643
"Nov 21, 2020",,0.644
"Nov 26, 2020",,0.644
"Dec 1, 2020",0.666,0.645
"Dec 6, 2020",,0.644
"Dec 11, 2020",0.712,0.644
"Dec 16, 2020",0.585,0.643
"Dec 21, 2020",,0.641
"Dec 26, 2020",,0.64
"Dec 31, 2020",,0.638
"Jan 5, 2021",,0.635
"Jan 10, 2021",0.658,0.632
"Jan 15, 2021",,0.629
"Jan 20, 2021",0.648,0.626
"Jan 25, 2021",,0.622
"Jan 30, 2021",0.612,0.618
"Feb 4, 2021",0.654,0.614
"Feb 9, 2021",,0.61
"Feb 14, 2021",0.591,0.606
"Feb 19, 2021",,0.601
"Feb 24, 2021",0.627,0.597
"Mar 1, 2021",0.562,0.592
"Mar 6, 2021",0.552,0.587
"Mar 11, 2021",0.569,0.583
"Mar 16, 2021",0.584,0.578
"Mar 21, 2021",,0.574
"Mar 26, 2021",0.641,0.569
"Mar 31, 2021",0.528,0.565
"Apr 5, 2021",,0.561
"Apr 10, 2021",0.677,0.557
"Apr 15, 2021",0.474,0.553
"Apr 20, 2021",0.563,0.55
"Apr 25, 2021",0.533,0.547
"Apr 30, 2021",,0.544
"May 5, 2021",,0.542
"May 10, 2021",,0.54
"May 15, 2021",0.413,0.538
"May 20, 2021",0.537,0.537
"May 25, 2021",0.553,0.536
"May 30, 2021",0.521,0.535
"Jun 4, 2021",,0.535
"Jun 9, 2021",0.584,0.535
"Jun 14, 2021",,0.536
"Jun 19, 2021",,0.537
"Jun 24, 2021",0.585,0.538
"Jun 29, 2021",,0.54
"Jul 4, 2021",0.51,0.542
"Jul 9, 2021",0.514,0.544
"Jul 14, 2021",0.374,0.547
"Jul 19, 2021",0.514,0.55
"Jul 24, 2021",0.607,0.553
"Jul 29, 2021",0.502,0.557
"Aug 3, 2021",,0.56
"Aug 8, 2021",,0.564
"Aug 13, 2021",,0.569
"Aug 18, 2021",,0.573
"Aug 23, 2021",0.624,0.577
"Aug 28, 2021",0.616,0.582
"Sep 2, 2021",,0.586
"Sep 7, 2021",,0.591
"Sep 12, 2021",0.587,0.595
"Sep 17, 2021",0.596,0.599
"Sep 22, 2021",,0.604
"Sep 27, 2021",,0.608
"Oct 2, 2021",,0.612
"Oct 7, 2021",0.622,0.615
"Oct 12, 2021",,0.619
"Oct 17, 2021",0.591,0.622
"Oct 22, 2021",,0.625
"Oct 27, 2021",,0.628
"Nov 1, 2021",,0.63
"Nov 6, 2021",,0.632
"Nov 11, 2021",0.487,0.634
"Nov 16, 2021",,0.636
"Nov 21, 2021",,0.636
"Nov 26, 2021",0.644,0.637
"Dec 1, 2021",,0.637
"Dec 6, 2021",0.733,0.637
"Dec 11, 2021",,0.636
"Dec 16, 2021",0.646,0.636
"Dec 21, 2021",,0.634
"Dec 26, 2021",,0.632
"Dec 31, 2021",0.659,0.63
