"","system.time_start","RVI_median","VH_median","Date"
"62","Feb 4, 2018",0.824,-12.074,2018-02-04
"63","Feb 16, 2018",0.745,-12.915,2018-02-16
"64","Feb 28, 2018",0.752,-12.838,2018-02-28
"65","Mar 12, 2018",0.784,-12.584,2018-03-12
"66","Mar 24, 2018",0.769,-12.478,2018-03-24
"67","Apr 5, 2018",0.73,-12.773,2018-04-05
"68","Apr 17, 2018",0.768,-12.751,2018-04-17
"69","Apr 29, 2018",0.724,-12.619,2018-04-29
"70","May 11, 2018",0.735,-13.299,2018-05-11
"71","May 23, 2018",0.769,-12.402,2018-05-23
"72","Jun 4, 2018",0.761,-12.455,2018-06-04
"73","Jun 16, 2018",0.711,-12.745,2018-06-16
"74","Jun 28, 2018",0.713,-12.457,2018-06-28
"75","Jul 10, 2018",0.7,-12.895,2018-07-10
"76","Jul 22, 2018",0.706,-12.635,2018-07-22
"77","Aug 3, 2018",0.692,-13.038,2018-08-03
"78","Aug 15, 2018",0.721,-13.35,2018-08-15
"79","Aug 27, 2018",0.718,-13.174,2018-08-27
"80","Sep 8, 2018",0.732,-13.076,2018-09-08
"81","Sep 20, 2018",0.729,-13.2,2018-09-20
"82","Oct 2, 2018",0.726,-12.884,2018-10-02
"83","Oct 14, 2018",0.741,-13.064,2018-10-14
"84","Oct 26, 2018",0.797,-12.434,2018-10-26
"85","Nov 7, 2018",0.802,-12.476,2018-11-07
"86","Nov 19, 2018",0.764,-12.674,2018-11-19
"87","Dec 1, 2018",0.766,-12.903,2018-12-01
"88","Dec 13, 2018",0.73,-12.601,2018-12-13
"89","Dec 25, 2018",0.734,-13.133,2018-12-25
"90","Jan 6, 2019",0.744,-12.991,2019-01-06
"91","Jan 18, 2019",0.732,-13.192,2019-01-18
"92","Jan 30, 2019",0.783,-12.459,2019-01-30
"93","Feb 11, 2019",0.758,-12.944,2019-02-11
"94","Feb 23, 2019",0.743,-12.757,2019-02-23
"95","Mar 7, 2019",0.703,-13.106,2019-03-07
"96","Mar 19, 2019",0.745,-13.449,2019-03-19
"97","Mar 31, 2019",0.718,-13.02,2019-03-31
"98","Apr 12, 2019",0.72,-12.86,2019-04-12
"99","Apr 24, 2019",0.713,-12.726,2019-04-24
"100","May 6, 2019",0.733,-12.551,2019-05-06
"101","May 18, 2019",0.701,-12.931,2019-05-18
"102","May 30, 2019",0.673,-12.726,2019-05-30
"103","Jun 11, 2019",0.723,-12.538,2019-06-11
"104","Jun 23, 2019",0.72,-12.791,2019-06-23
"105","Jul 5, 2019",0.669,-13.317,2019-07-05
"106","Jul 17, 2019",0.645,-13.518,2019-07-17
"107","Jul 29, 2019",0.72,-12.692,2019-07-29
"108","Aug 10, 2019",0.712,-12.946,2019-08-10
"109","Aug 22, 2019",0.718,-12.711,2019-08-22
"110","Sep 3, 2019",0.682,-13.058,2019-09-03
"111","Sep 15, 2019",0.659,-13.274,2019-09-15
"112","Sep 27, 2019",0.694,-12.772,2019-09-27
"113","Oct 9, 2019",0.716,-12.738,2019-10-09
"114","Oct 21, 2019",0.68,-13.084,2019-10-21
"115","Nov 2, 2019",0.722,-12.571,2019-11-02
"116","Nov 14, 2019",0.719,-12.975,2019-11-14
"117","Nov 26, 2019",0.712,-13.29,2019-11-26
"118","Dec 8, 2019",0.762,-12.493,2019-12-08
"119","Dec 20, 2019",0.712,-12.997,2019-12-20
"120","Jan 1, 2020",0.75,-12.448,2020-01-01
"121","Jan 13, 2020",0.714,-13.065,2020-01-13
"122","Feb 6, 2020",0.719,-13.084,2020-02-06
"123","Feb 18, 2020",0.734,-12.824,2020-02-18
"124","Mar 1, 2020",0.7,-13.394,2020-03-01
"125","Mar 13, 2020",0.751,-12.49,2020-03-13
"126","Mar 25, 2020",0.7,-13.334,2020-03-25
"127","Apr 6, 2020",0.717,-12.917,2020-04-06
"128","Apr 18, 2020",0.726,-12.583,2020-04-18
"129","Apr 30, 2020",0.657,-13.132,2020-04-30
"130","May 12, 2020",0.666,-13.429,2020-05-12
"131","May 24, 2020",0.655,-12.946,2020-05-24
"132","Jun 5, 2020",0.669,-13.214,2020-06-05
"133","Jun 17, 2020",0.723,-12.867,2020-06-17
"134","Jun 29, 2020",0.658,-13.1,2020-06-29
"135","Jul 11, 2020",0.644,-12.9,2020-07-11
"136","Jul 23, 2020",0.641,-13.285,2020-07-23
"137","Aug 4, 2020",0.665,-13.261,2020-08-04
"138","Aug 16, 2020",0.665,-12.633,2020-08-16
"139","Aug 28, 2020",0.707,-12.763,2020-08-28
"140","Sep 9, 2020",0.756,-13.131,2020-09-09
"141","Sep 21, 2020",0.774,-13.241,2020-09-21
"142","Oct 15, 2020",0.795,-12.959,2020-10-15
"143","Oct 27, 2020",0.814,-13.01,2020-10-27
"144","Nov 8, 2020",0.813,-12.804,2020-11-08
"145","Nov 20, 2020",0.739,-12.692,2020-11-20
"146","Dec 2, 2020",0.7,-13.019,2020-12-02
"147","Dec 14, 2020",0.679,-13.194,2020-12-14
"148","Dec 26, 2020",0.712,-13.117,2020-12-26
"149","Jan 7, 2021",0.7,-13.261,2021-01-07
"150","Jan 19, 2021",0.692,-13.228,2021-01-19
"151","Jan 31, 2021",0.69,-13.152,2021-01-31
"152","Feb 12, 2021",0.686,-13.307,2021-02-12
"153","Feb 24, 2021",0.679,-13.291,2021-02-24
"154","Mar 8, 2021",0.701,-13.573,2021-03-08
"155","Mar 20, 2021",0.704,-12.895,2021-03-20
"156","Apr 1, 2021",0.689,-13.45,2021-04-01
"157","Apr 13, 2021",0.665,-13.505,2021-04-13
"158","Apr 25, 2021",0.673,-13.103,2021-04-25
"159","May 7, 2021",0.687,-12.945,2021-05-07
"160","Aug 23, 2021",0.698,-12.801,2021-08-23
"161","Sep 4, 2021",0.691,-12.849,2021-09-04
"162","Sep 16, 2021",0.671,-13.052,2021-09-16
"163","Sep 28, 2021",0.726,-12.746,2021-09-28
"164","Oct 10, 2021",0.761,-12.512,2021-10-10
"165","Oct 22, 2021",0.706,-13.134,2021-10-22
"166","Nov 3, 2021",0.736,-12.708,2021-11-03
"167","Nov 15, 2021",0.724,-13.019,2021-11-15
"168","Nov 27, 2021",0.706,-13.218,2021-11-27
"169","Dec 9, 2021",0.745,-12.446,2021-12-09
"170","Dec 21, 2021",0.738,-12.59,2021-12-21
